Serial Number,Country,Site Name,Timestamp (UTC),Year,Month,Day,Hour,Longitude,Latitude,is_indoors,PM1.0 (ug/m3),PM2.5 (ug/m3),Applied PM2.5 Custom Calibration Factor,PM4.0 (ug/m3),PM10 (ug/m3),Applied PM10 Custom Calibration Factor,PM0.5 NC (#/cm3),PM1.0 NC (#/cm3),PM2.5 NC (#/cm3),PM4.0 NC (#/cm3),PM10 NC (#/cm3),Typical Particle Size (um),PM Sensor Status,Temperature (Celsius),Relative Humidity (%),Device Status,Time Delta
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 06:57,2021.0,7.0,15.0,6.0,90.40947,23.74354,False,7,8,,8,8,,57,67,67,67,67,0.54,0.0,30.4,62,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 07:12,2021.0,7.0,15.0,7.0,90.40947,23.74354,False,8,9,,9,9,,63,74,75,75,75,0.53,0.0,30.2,63,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 08:13,2021.0,7.0,15.0,8.0,90.40947,23.74354,False,12,13,,13,13,,97,115,115,115,115,0.53,0.0,29.8,66,1.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 08:28,2021.0,7.0,15.0,8.0,90.40947,23.74354,False,10,11,,11,11,,82,96,97,97,97,0.53,0.0,29.9,65,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 08:43,2021.0,7.0,15.0,8.0,90.40947,23.74354,False,10,11,,11,11,,81,95,96,96,96,0.51,0.0,29.8,64,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 08:58,2021.0,7.0,15.0,8.0,90.40947,23.74354,False,11,11,,11,11,,84,99,100,100,100,0.55,0.0,30.0,66,4.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 09:13,2021.0,7.0,15.0,9.0,90.40947,23.74354,False,10,11,,11,11,,78,91,92,92,92,0.53,0.0,31.3,66,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 09:28,2021.0,7.0,15.0,9.0,90.40947,23.74354,False,9,10,,10,10,,71,84,84,84,84,0.54,0.0,32.3,65,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 09:43,2021.0,7.0,15.0,9.0,90.40947,23.74354,False,9,10,,10,10,,69,82,82,82,82,0.53,0.0,32.9,64,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 09:58,2021.0,7.0,15.0,9.0,90.40947,23.74354,False,9,9,,9,9,,67,79,79,79,79,0.52,0.0,33.3,64,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 10:13,2021.0,7.0,15.0,10.0,90.40947,23.74354,False,9,9,,9,9,,66,78,78,78,78,0.51,0.0,33.6,64,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 10:28,2021.0,7.0,15.0,10.0,90.40947,23.74354,False,8,9,,9,9,,63,74,75,75,75,0.52,0.0,33.8,64,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 10:43,2021.0,7.0,15.0,10.0,90.40947,23.74354,False,8,9,,9,9,,62,73,74,74,74,0.5,0.0,33.9,64,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 10:58,2021.0,7.0,15.0,10.0,90.40947,23.74354,False,8,9,,9,9,,62,74,74,74,74,0.51,0.0,34.0,64,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 11:13,2021.0,7.0,15.0,11.0,90.40947,23.74354,False,8,9,,9,9,,63,75,75,75,75,0.5,0.0,34.1,65,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 11:28,2021.0,7.0,15.0,11.0,90.40947,23.74354,False,8,9,,9,9,,63,75,75,75,75,0.5,0.0,34.2,65,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 11:43,2021.0,7.0,15.0,11.0,90.40947,23.74354,False,9,9,,9,9,,65,77,77,77,77,0.51,0.0,34.3,65,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 11:58,2021.0,7.0,15.0,11.0,90.40947,23.74354,False,9,9,,9,9,,65,76,77,77,77,0.51,0.0,34.3,65,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 12:13,2021.0,7.0,15.0,12.0,90.40947,23.74354,False,8,9,,9,9,,64,75,76,76,76,0.51,0.0,34.4,65,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 12:28,2021.0,7.0,15.0,12.0,90.40947,23.74354,False,8,9,,9,9,,63,74,74,74,74,0.51,0.0,34.4,66,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 12:43,2021.0,7.0,15.0,12.0,90.40947,23.74354,False,8,8,,8,8,,61,72,72,72,72,0.52,0.0,34.5,66,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 12:58,2021.0,7.0,15.0,12.0,90.40947,23.74354,False,8,8,,8,8,,57,67,68,68,68,0.52,0.0,34.5,66,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 13:13,2021.0,7.0,15.0,13.0,90.40947,23.74354,False,7,8,,8,8,,56,66,66,66,66,0.53,0.0,34.5,66,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 13:28,2021.0,7.0,15.0,13.0,90.40947,23.74354,False,7,8,,8,8,,56,66,66,66,66,0.5,0.0,34.5,66,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 13:43,2021.0,7.0,15.0,13.0,90.40947,23.74354,False,7,7,,7,7,,52,62,62,62,62,0.51,0.0,34.6,66,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 13:58,2021.0,7.0,15.0,13.0,90.40947,23.74354,False,7,8,,8,8,,55,65,66,66,66,0.52,0.0,34.6,66,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 14:13,2021.0,7.0,15.0,14.0,90.40947,23.74354,False,8,8,,8,8,,57,67,67,67,67,0.51,0.0,34.6,66,0.0,15.0
81432124031,Bangladesh,1. Siddeshwari,07/15/2021 14:28,2021.0,7.0,15.0,14.0,90.40947,23.74354,False,8,8,,8,8,,57,68,68,68,68,0.51,0.0,34.6,66,0.0,15.0
