Serial Number,Country,Site Name,Timestamp (UTC),Longitude,Latitude,is_indoors,PM1.0 (ug/m3),PM2.5 (ug/m3),Applied PM2.5 Custom Calibration Factor,PM4.0 (ug/m3),PM10 (ug/m3),Applied PM10 Custom Calibration Factor,PM0.5 NC (#/cm3),PM1.0 NC (#/cm3),PM2.5 NC (#/cm3),PM4.0 NC (#/cm3),PM10 NC (#/cm3),Typical Particle Size (um),PM Sensor Status,Temperature (Celsius),Relative Humidity (%),Device Status,Time Delta
81432130003,India,IITK04_Aliganj,03/01/2022 00:01,80.951876,26.901733,False,69,73,,73,73,,647,750,753,754,754,0.56,0.0,20.0,58,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 00:16,80.951876,26.901733,False,68,71,,72,72,,632,733,737,737,737,0.56,0.0,20.0,58,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 00:31,80.951876,26.901733,False,69,73,,73,73,,646,749,753,753,753,0.55,0.0,19.9,59,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 00:46,80.951876,26.901733,False,70,73,,73,74,,651,755,758,759,759,0.55,0.0,19.9,59,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 01:01,80.951876,26.901733,False,97,102,,102,103,,905,1050,1055,1056,1056,0.57,0.0,19.7,59,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 01:16,80.951876,26.901733,False,79,83,,84,84,,740,859,863,863,863,0.56,0.0,19.7,59,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 01:31,80.951876,26.901733,False,78,82,,83,83,,732,848,853,853,853,0.56,0.0,20.0,59,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 01:46,80.951876,26.901733,False,74,78,,79,79,,691,802,806,806,806,0.56,0.0,20.5,58,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 02:01,80.951876,26.901733,False,74,78,,79,79,,689,799,802,803,803,0.56,0.0,21.1,56,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 02:16,80.951876,26.901733,False,81,86,,86,86,,747,866,871,871,871,0.57,0.0,22.1,55,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 02:31,80.951876,26.901733,False,69,73,,74,74,,628,728,732,732,732,0.56,0.0,23.8,51,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 02:46,80.951876,26.901733,False,70,74,,74,74,,607,704,707,708,708,0.55,0.0,28.6,43,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 03:01,80.951876,26.901733,False,70,73,,74,74,,587,680,683,683,684,0.55,0.0,32.6,36,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 03:16,80.951876,26.901733,False,70,74,,74,74,,581,673,676,676,677,0.54,0.0,34.8,32,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 03:31,80.951876,26.901733,False,74,78,,78,78,,607,704,707,707,707,0.54,0.0,36.2,30,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 03:46,80.951876,26.901733,False,77,81,,81,81,,626,725,729,729,729,0.54,0.0,37.5,29,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 04:01,80.951876,26.901733,False,77,81,,82,82,,622,721,724,724,724,0.54,0.0,38.6,28,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 04:16,80.951876,26.901733,False,76,80,,80,80,,605,702,705,705,705,0.54,0.0,39.6,27,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 04:31,80.951876,26.901733,False,69,72,,73,73,,549,636,639,639,639,0.54,0.0,39.9,26,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 04:46,80.951876,26.901733,False,62,65,,65,65,,489,566,569,569,569,0.53,0.0,40.5,26,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 05:01,80.951876,26.901733,False,49,52,,52,52,,393,455,457,457,457,0.53,0.0,40.0,26,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 05:16,80.951876,26.901733,False,40,42,,42,42,,330,382,384,384,384,0.55,0.0,35.2,30,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 05:31,80.951876,26.901733,False,32,33,,34,34,,269,312,313,313,313,0.55,0.0,31.7,34,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 05:46,80.951876,26.901733,False,28,29,,30,30,,240,278,279,279,279,0.55,0.0,30.3,35,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 06:01,80.951876,26.901733,False,30,32,,32,32,,261,303,304,304,304,0.54,0.0,29.5,37,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 06:16,80.951876,26.901733,False,30,31,,32,32,,259,300,301,301,301,0.55,0.0,29.3,38,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 06:31,80.951876,26.901733,False,25,26,,26,26,,216,250,251,251,252,0.54,0.0,29.2,37,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 06:46,80.951876,26.901733,False,26,27,,27,27,,224,259,260,261,261,0.55,0.0,29.0,37,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 07:01,80.951876,26.901733,False,25,27,,27,27,,219,254,255,255,255,0.55,0.0,29.0,37,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 07:16,80.951876,26.901733,False,23,24,,24,25,,201,233,234,234,234,0.55,0.0,29.0,36,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 07:31,80.951876,26.901733,False,21,23,,23,23,,187,216,217,217,217,0.53,0.0,28.9,35,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 07:46,80.951876,26.901733,False,19,20,,20,20,,161,187,188,188,188,0.54,0.0,28.8,33,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 08:01,80.951876,26.901733,False,21,22,,22,22,,178,206,207,207,207,0.54,0.0,28.9,34,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 08:16,80.951876,26.901733,False,20,21,,21,21,,171,198,199,199,199,0.53,0.0,28.8,34,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 08:31,80.951876,26.901733,False,20,21,,21,21,,173,201,201,202,202,0.53,0.0,28.6,34,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 08:46,80.951876,26.901733,False,20,21,,21,21,,170,197,198,198,198,0.55,0.0,28.5,34,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 09:01,80.951876,26.901733,False,18,19,,19,19,,156,180,181,181,181,0.55,0.0,28.5,33,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 09:16,80.951876,26.901733,False,17,18,,18,18,,145,169,169,169,169,0.55,0.0,28.5,33,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 09:31,80.951876,26.901733,False,16,17,,17,17,,137,159,159,159,159,0.55,0.0,28.4,32,8.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 09:46,80.951876,26.901733,False,15,16,,16,16,,134,156,157,157,157,0.54,0.0,28.4,31,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 10:01,80.951876,26.901733,False,16,17,,17,17,,143,166,166,166,166,0.53,0.0,28.4,33,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 10:16,80.951876,26.901733,False,18,19,,19,19,,153,178,179,179,179,0.54,0.0,28.4,34,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 10:31,80.951876,26.901733,False,19,19,,19,19,,162,187,188,188,188,0.54,0.0,28.3,34,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 10:46,80.951876,26.901733,False,18,19,,19,19,,159,184,185,185,185,0.54,0.0,28.2,35,0.0,15.0
81432130003,India,IITK04_Aliganj,03/01/2022 11:01,80.951876,26.901733,False,18,19,,19,19,,156,180,181,181,181,0.54,0.0,28.1,34,0.0,15.0
