Country,Serial Number,Site Name,Timestamp (UTC),Longitude,Latitude,is_indoors,PM1.0 (ug/m3),PM2.5 (ug/m3),Applied PM2.5 Custom Calibration Factor,PM4.0 (ug/m3),PM10 (ug/m3),Applied PM10 Custom Calibration Factor,PM0.5 NC (#/cm3),PM1.0 NC (#/cm3),PM2.5 NC (#/cm3),PM4.0 NC (#/cm3),PM10 NC (#/cm3),Typical Particle Size (um),Temperature (Celsius),Relative Humidity (%),Time Delta,Entry Count
India,81432130003,IITK04_Aliganj,03/01/2022 00:00,80.951876,26.901733,False,69.0,72.5,,72.75,73.0,,644.0,746.8,750.2,750.8,750.8,0.56,20.0,58.5,15.0,4.0
India,81432130003,IITK04_Aliganj,03/01/2022 01:00,80.951876,26.901733,False,82.0,86.25,,87.0,87.25,,767.0,889.8,894.2,894.5,894.5,0.56,20.0,58.8,15.0,4.0
India,81432130003,IITK04_Aliganj,03/01/2022 02:00,80.951876,26.901733,False,73.5,77.75,,78.25,78.25,,667.8,774.2,778.0,778.5,778.5,0.56,23.9,51.2,15.0,4.0
India,81432130003,IITK04_Aliganj,03/01/2022 03:00,80.951876,26.901733,False,72.75,76.5,,76.75,76.75,,600.2,695.5,698.8,698.8,699.2,0.54,35.3,31.8,15.0,4.0
India,81432130003,IITK04_Aliganj,03/01/2022 04:00,80.951876,26.901733,False,71.0,74.5,,75.0,75.0,,566.2,656.2,659.2,659.2,659.2,0.54,39.6,26.8,15.0,4.0
India,81432130003,IITK04_Aliganj,03/01/2022 05:00,80.951876,26.901733,False,37.25,39.0,,39.5,39.5,,308.0,356.8,358.2,358.2,358.2,0.55,34.3,31.2,15.0,4.0
India,81432130003,IITK04_Aliganj,03/01/2022 06:00,80.951876,26.901733,False,27.75,29.0,,29.25,29.25,,240.0,278.0,279.0,279.2,279.5,0.55,29.2,37.2,15.0,4.0
India,81432130003,IITK04_Aliganj,03/01/2022 07:00,80.951876,26.901733,False,22.0,23.5,,23.5,23.75,,192.0,222.5,223.5,223.5,223.5,0.54,28.9,35.2,15.0,4.0
India,81432130003,IITK04_Aliganj,03/01/2022 08:00,80.951876,26.901733,False,20.25,21.25,,21.25,21.25,,173.0,200.5,201.2,201.5,201.5,0.54,28.7,34.0,15.0,4.0
India,81432130003,IITK04_Aliganj,03/01/2022 09:00,80.951876,26.901733,False,16.5,17.5,,17.5,17.5,,143.0,166.0,166.5,166.5,166.5,0.55,28.5,32.3,15.0,4.0
