Serial Number,Timestamp,Longitude,Latitude,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Factor,PM4.0,PM10,Applied PM10 Custom Calibration Factor,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,Temperature,Relative Humidity,Device Status
,UTC,,,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,um,,Celsius,%,
81432039074,02/24/2022 23:36,-78.93817,36.0036,4,4,,4,4,,33,39,39,39,39,0.53,0,7.6,82,0
81432039050,02/24/2022 23:37,-78.93806341,36.00346491,1,1,,1,1,,9,10,10,10,10,0.45,0,25.2,35,0
81432039072,02/24/2022 23:37,-78.938232,36.001427,4,4,,4,4,,31,37,37,37,37,0.49,0,7.8,81,0
81432039053,02/24/2022 23:37,-78.93799635,36.00350901,3,4,,4,4,,30,35,35,35,35,0.44,0,8.0,81,0
81432039074,02/24/2022 23:51,-78.93817,36.0036,4,4,,4,4,,36,42,42,42,42,0.53,0,7.6,82,0
81432039072,02/24/2022 23:52,-78.938232,36.001427,4,4,,4,4,,34,40,40,40,40,0.52,0,7.8,81,0
81432039053,02/24/2022 23:52,-78.93799635,36.00350901,4,4,,4,4,,33,39,39,39,39,0.45,0,8.0,81,0
81432039050,02/24/2022 23:52,-78.93806341,36.00346491,1,1,,1,1,,8,10,10,10,10,0.45,0,25.1,35,0
81432039074,02/25/2022 00:06,-78.93817,36.0036,5,5,,5,5,,39,46,47,47,47,0.53,0,7.6,83,0
81432039072,02/25/2022 00:07,-78.938232,36.001427,4,4,,4,4,,36,42,43,43,43,0.53,0,7.7,82,0
81432039053,02/25/2022 00:07,-78.93799635,36.00350901,4,4,,4,4,,36,42,42,42,42,0.46,0,8.0,82,0
81432039050,02/25/2022 00:07,-78.93806341,36.00346491,1,1,,1,1,,9,10,10,10,10,0.45,0,25.2,34,0
81432039074,02/25/2022 00:21,-78.93817,36.0036,5,5,,5,5,,43,50,51,51,51,0.55,0,7.7,82,0
81432039053,02/25/2022 00:22,-78.93799635,36.00350901,4,5,,5,5,,39,45,46,46,46,0.48,0,8.1,82,0
