Serial Number,Timestamp (UTC),Longitude,Latitude,PM1.0 (ug/m3),PM2.5 (ug/m3),PM4.0 (ug/m3),PM10 (ug/m3),PM0.5 NC (#/cm3),PM1.0 NC (#/cm3),PM2.5 NC (#/cm3),PM4.0 NC (#/cm3),PM10 NC (#/cm3),Typical Particle Size (um),PM Sensor Status,Temperature (Celsius),Relative Humidity (%),Device Status
81432039050,10/06/2021 00:06,-78.93806341,36.00346491,5,5,5,5,38,44,44,44,44,0.51,0.0,25.6,37,0.0
81432039072,10/06/2021 00:10,-78.938232,36.001427,10,11,11,11,79,92,93,93,93,0.53,0.0,23.8,82,0.0
81432039074,10/06/2021 00:12,-78.93817,36.0036,10,11,11,11,76,89,89,89,89,0.54,0.0,23.6,83,0.0
81432039053,10/06/2021 00:14,-78.93799635,36.00350901,9,9,9,9,69,80,80,80,80,0.44,0.0,24.2,81,0.0
81432039050,10/06/2021 00:21,-78.93806341,36.00346491,5,5,5,5,38,45,45,45,45,0.5,0.0,25.6,37,0.0
81432039072,10/06/2021 00:25,-78.938232,36.001427,11,11,11,11,80,94,95,95,95,0.54,0.0,23.8,82,0.0
81432039074,10/06/2021 00:27,-78.93817,36.0036,10,11,11,11,75,88,89,89,89,0.54,0.0,23.6,83,0.0
81432039053,10/06/2021 00:29,-78.93799635,36.00350901,9,10,10,10,70,82,82,82,82,0.44,0.0,24.2,81,0.0
81432039050,10/06/2021 00:36,-78.93806341,36.00346491,5,5,5,5,39,45,46,46,46,0.52,0.0,25.5,37,0.0
81432039072,10/06/2021 00:40,-78.938232,36.001427,10,11,11,11,77,91,91,91,91,0.53,0.0,24.0,81,0.0
81432039074,10/06/2021 00:42,-78.93817,36.0036,10,10,10,10,74,87,88,88,88,0.56,0.0,23.9,81,0.0
81432039053,10/06/2021 00:44,-78.93799635,36.00350901,9,9,9,9,67,78,78,78,79,0.44,0.0,24.4,80,0.0
81432039050,10/06/2021 00:51,-78.93806341,36.00346491,5,5,5,5,39,46,46,46,46,0.5,0.0,25.6,37,0.0
81432039072,10/06/2021 00:55,-78.938232,36.001427,10,11,11,11,79,92,93,93,93,0.54,0.0,24.1,80,0.0
81432039074,10/06/2021 00:57,-78.93817,36.0036,10,10,10,10,74,87,87,87,87,0.54,0.0,23.9,81,0.0
81432039053,10/06/2021 00:59,-78.93799635,36.00350901,9,9,9,9,68,79,79,79,79,0.45,0.0,24.6,79,0.0
81432039050,10/06/2021 01:06,-78.93806341,36.00346491,5,5,5,5,40,46,46,46,46,0.51,0.0,25.7,37,0.0
81432039072,10/06/2021 01:10,-78.938232,36.001427,10,11,11,11,79,92,93,93,93,0.54,0.0,24.1,80,0.0
81432039074,10/06/2021 01:12,-78.93817,36.0036,10,11,11,11,77,90,90,91,91,0.55,0.0,23.9,81,0.0
81432039053,10/06/2021 01:14,-78.93799635,36.00350901,9,10,10,10,72,83,84,84,84,0.44,0.0,24.5,79,0.0
81432039050,10/06/2021 01:21,-78.93806341,36.00346491,5,5,5,5,40,46,47,47,47,0.5,0.0,25.8,37,0.0
81432039072,10/06/2021 01:25,-78.938232,36.001427,11,12,12,12,86,101,102,102,102,0.53,0.0,23.9,81,0.0
