Serial Number,Timestamp,Longitude,Latitude,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Factor,PM4.0,PM10,Applied PM10 Custom Calibration Factor,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,Temperature,Relative Humidity,Device Status
,UTC,,,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,um,,Celsius,%,
81432039050,12/31/2021 23:51,-78.93806341,36.00346491,5,5,,5,5,,37,43,43,43,43,0.57,0,25.5,36,0
81432039053,12/31/2021 23:51,-78.93799635,36.00350901,7,7,,7,7,,52,61,61,61,61,0.47,0,20.6,72,0
81432039053,12/31/2021 23:36,-78.93799635,36.00350901,6,7,,7,7,,50,58,58,58,58,0.47,0,20.6,72,0
81432039050,12/31/2021 23:36,-78.93806341,36.00346491,5,5,,5,5,,36,42,42,42,42,0.57,0,25.4,37,0
81432039050,12/31/2021 23:21,-78.93806341,36.00346491,5,5,,5,5,,36,42,42,42,42,0.55,0,25.4,37,0
81432039053,12/31/2021 23:21,-78.93799635,36.00350901,6,6,,6,6,,48,56,57,57,57,0.47,0,20.3,73,0
81432039053,12/31/2021 23:06,-78.93799635,36.00350901,6,7,,7,7,,51,59,59,59,59,0.47,0,20.2,74,0
81432039050,12/31/2021 23:06,-78.93806341,36.00346491,5,5,,5,5,,36,42,42,42,42,0.57,0,25.5,36,0
81432039053,12/31/2021 22:51,-78.93799635,36.00350901,6,7,,7,7,,50,59,59,59,59,0.48,0,20.3,74,0
81432039050,12/31/2021 22:51,-78.93806341,36.00346491,5,5,,5,5,,37,43,43,43,43,0.54,0,25.5,36,0
81432039053,12/31/2021 22:36,-78.93799635,36.00350901,7,7,,7,7,,53,62,62,62,62,0.47,0,20.5,74,0
81432039050,12/31/2021 22:36,-78.93806341,36.00346491,5,5,,5,5,,38,45,45,45,45,0.56,0,25.4,37,0
81432039050,12/31/2021 22:21,-78.93806341,36.00346491,5,5,,5,5,,38,44,44,44,44,0.57,0,25.4,37,0
81432039053,12/31/2021 22:21,-78.93799635,36.00350901,7,7,,7,7,,53,61,62,62,62,0.47,0,20.8,73,0
81432039053,12/31/2021 22:06,-78.93799635,36.00350901,6,7,,7,7,,50,58,58,58,58,0.46,0,21.3,71,0
81432039050,12/31/2021 22:06,-78.93806341,36.00346491,5,5,,5,5,,37,43,44,44,44,0.57,0,25.5,36,0
81432039050,12/31/2021 21:51,-78.93806341,36.00346491,5,5,,5,5,,36,42,43,43,43,0.57,0,25.5,36,0
