Timestamp,PM2.5,Applied PM2.5 Custom Calibration Setting - Multiplication Factor,PM10,Applied PM10 Custom Calibration Setting - Multiplication Factor,PM Sensor Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Device Status
UTC,ug/m3,,ug/m3,,,Fahrenheit,,%,,
03/07/2022 00:10,84,,84,,0,79.0,,50,,0
03/07/2022 00:25,91,,92,,0,79.0,,50,,0
03/07/2022 00:40,92,,92,,0,78.8,,51,,0
03/07/2022 00:55,93,,93,,0,79.0,,51,,0
03/07/2022 01:10,98,,98,,0,79.3,,51,,0
03/07/2022 01:25,95,,95,,0,80.1,,50,,0
03/07/2022 01:40,95,,95,,0,80.6,,50,,0
03/07/2022 01:55,94,,94,,0,80.8,,50,,0
03/07/2022 02:10,94,,94,,0,81.0,,49,,0
03/07/2022 02:25,86,,86,,0,81.3,,49,,0
03/07/2022 02:40,95,,96,,0,81.7,,49,,0
03/07/2022 02:55,93,,93,,0,82.4,,49,,0
03/07/2022 03:10,96,,96,,0,83.1,,48,,0
03/07/2022 03:25,122,,127,,0,84.0,,47,,0
03/07/2022 03:40,105,,107,,0,84.6,,47,,0
03/07/2022 03:55,85,,85,,0,84.9,,46,,0
03/07/2022 04:10,82,,82,,0,85.8,,45,,0
03/07/2022 04:25,84,,85,,0,86.7,,44,,0
03/07/2022 04:40,68,,68,,0,87.4,,43,,0
03/07/2022 04:55,57,,57,,0,88.0,,40,,0
03/07/2022 05:10,54,,54,,0,88.7,,39,,0
03/07/2022 05:25,67,,67,,0,89.2,,40,,0
03/07/2022 05:40,67,,67,,0,89.4,,39,,0
03/07/2022 05:55,54,,54,,0,90.0,,38,,0
03/07/2022 06:10,50,,50,,0,90.3,,37,,0
03/07/2022 06:25,53,,53,,0,90.5,,37,,0
03/07/2022 06:40,49,,50,,0,91.0,,37,,0
03/07/2022 06:55,51,,51,,0,91.2,,37,,0
03/07/2022 07:38,41,,41,,0,91.0,,35,,1
03/07/2022 07:53,46,,46,,0,92.8,,34,,0
03/07/2022 08:08,43,,43,,0,93.6,,33,,0
03/07/2022 08:23,38,,38,,0,93.2,,32,,0
03/07/2022 08:38,38,,38,,0,93.6,,31,,0
03/07/2022 08:53,40,,40,,0,94.3,,32,,0
03/07/2022 09:08,43,,43,,0,93.4,,33,,0
03/07/2022 09:23,39,,39,,0,93.2,,33,,0
03/07/2022 09:38,35,,35,,0,93.0,,32,,0
03/07/2022 09:53,35,,35,,0,93.2,,32,,0
03/07/2022 10:08,34,,34,,0,93.6,,31,,0
03/07/2022 10:23,35,,35,,0,93.6,,32,,0
03/07/2022 10:38,34,,34,,0,93.7,,32,,0
03/07/2022 10:53,35,,35,,0,93.6,,32,,0
03/07/2022 11:08,33,,33,,0,92.7,,33,,0
03/07/2022 11:23,36,,36,,0,92.3,,33,,0
03/07/2022 11:38,37,,37,,0,92.3,,33,,0
03/07/2022 11:53,40,,40,,0,92.5,,33,,0
03/07/2022 12:08,48,,48,,0,91.0,,34,,0
03/07/2022 12:23,64,,64,,0,90.5,,33,,0
03/07/2022 12:38,94,,95,,0,90.1,,34,,0
